STATION,STATION_NAME,DATE,PRCP,SNOW
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160708,0.02,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160709,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160710,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160711,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160712,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160713,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160714,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160715,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160716,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160717,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160718,0.00,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160719,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160720,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160721,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160722,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160723,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160724,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160725,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160726,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160727,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160728,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160729,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160730,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160731,0.00,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160801,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160802,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160803,0.00,0.0
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160804,0.00,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160805,0.04,-9999
GHCND:US1CASF0004,SAN FRANCISCO 1.1 SW CA US,20160806,0.00,0.0
